Datetime,Open,High,Low,Close,Volume
2026-01-08 03:45:00+00:00,26102.650390625,26132.900390625,26080.44921875,26123.25,0
2026-01-08 03:50:00+00:00,26119.849609375,26119.849609375,26090.900390625,26096.75,0
2026-01-08 03:55:00+00:00,26096.599609375,26097.0,26064.099609375,26064.5,0
2026-01-08 04:00:00+00:00,26065.0,26070.05078125,26050.150390625,26060.69921875,0
2026-01-08 04:05:00+00:00,26060.80078125,26095.900390625,26053.25,26092.44921875,0
2026-01-08 04:10:00+00:00,26092.849609375,26103.349609375,26087.30078125,26090.69921875,0
2026-01-08 04:15:00+00:00,26090.650390625,26091.30078125,26068.44921875,26082.19921875,0
2026-01-08 04:20:00+00:00,26081.75,26099.099609375,26066.19921875,26096.75,0
2026-01-08 04:25:00+00:00,26096.650390625,26098.650390625,26084.55078125,26091.69921875,0
2026-01-08 04:30:00+00:00,26091.05078125,26091.650390625,26064.75,26066.05078125,0
2026-01-08 04:35:00+00:00,26065.900390625,26072.05078125,26053.150390625,26055.400390625,0
2026-01-08 04:40:00+00:00,26055.55078125,26065.099609375,26048.44921875,26061.150390625,0
2026-01-08 04:45:00+00:00,26061.80078125,26062.0,26037.150390625,26037.150390625,0
2026-01-08 04:50:00+00:00,26038.349609375,26041.849609375,26026.55078125,26034.80078125,0
2026-01-08 04:55:00+00:00,26035.5,26041.849609375,26030.75,26039.94921875,0
2026-01-08 05:00:00+00:00,26040.150390625,26041.80078125,26029.150390625,26037.80078125,0
2026-01-08 05:05:00+00:00,26038.5,26042.55078125,26026.599609375,26031.150390625,0
2026-01-08 05:10:00+00:00,26030.849609375,26037.30078125,26025.599609375,26031.599609375,0
2026-01-08 05:15:00+00:00,26031.849609375,26035.75,26027.0,26027.0,0
2026-01-08 05:20:00+00:00,26026.55078125,26031.30078125,26013.900390625,26021.55078125,0
2026-01-08 05:25:00+00:00,26021.75,26024.5,26013.30078125,26016.900390625,0
2026-01-08 05:30:00+00:00,26017.099609375,26017.75,26008.150390625,26016.80078125,0
2026-01-08 05:35:00+00:00,26016.30078125,26016.650390625,26008.25,26014.5,0
2026-01-08 05:40:00+00:00,26013.44921875,26013.75,26001.0,26003.80078125,0
2026-01-08 05:45:00+00:00,26002.69921875,26008.19921875,25994.0,25999.0,0
2026-01-08 05:50:00+00:00,25997.80078125,25998.30078125,25968.25,25969.0,0
2026-01-08 05:55:00+00:00,25970.099609375,25976.150390625,25963.650390625,25975.599609375,0
2026-01-08 06:00:00+00:00,25975.19921875,25975.349609375,25962.55078125,25968.44921875,0
2026-01-08 06:05:00+00:00,25968.599609375,25985.0,25968.150390625,25982.400390625,0
2026-01-08 06:10:00+00:00,25982.400390625,25988.599609375,25973.19921875,25974.150390625,0
2026-01-08 06:15:00+00:00,25974.19921875,25978.5,25958.19921875,25958.94921875,0
2026-01-08 06:20:00+00:00,25958.75,25967.400390625,25954.55078125,25960.349609375,0
2026-01-08 06:25:00+00:00,25960.900390625,25962.099609375,25936.55078125,25938.30078125,0
2026-01-08 06:30:00+00:00,25938.099609375,25943.099609375,25916.5,25917.44921875,0
2026-01-08 06:35:00+00:00,25916.5,25922.849609375,25884.75,25921.400390625,0
2026-01-08 06:40:00+00:00,25921.349609375,25935.75,25916.150390625,25933.75,0
2026-01-08 06:45:00+00:00,25934.0,25945.400390625,25928.5,25930.849609375,0
2026-01-08 06:50:00+00:00,25930.25,25933.5,25919.900390625,25923.30078125,0
2026-01-08 06:55:00+00:00,25922.69921875,25941.5,25922.69921875,25935.80078125,0
2026-01-08 07:00:00+00:00,25935.69921875,25938.150390625,25916.150390625,25917.900390625,0
2026-01-08 07:05:00+00:00,25917.5,25929.94921875,25912.25,25925.25,0
2026-01-08 07:10:00+00:00,25924.5,25928.349609375,25916.30078125,25924.44921875,0
2026-01-08 07:15:00+00:00,25924.75,25926.0,25909.5,25913.94921875,0
2026-01-08 07:20:00+00:00,25913.69921875,25920.900390625,25903.150390625,25914.75,0
2026-01-08 07:25:00+00:00,25915.25,25919.150390625,25910.0,25911.69921875,0
2026-01-08 07:30:00+00:00,25912.05078125,25924.0,25900.75,25923.75,0
2026-01-08 07:35:00+00:00,25923.650390625,25928.5,25912.75,25922.599609375,0
2026-01-08 07:40:00+00:00,25922.80078125,25928.19921875,25919.19921875,25926.099609375,0
2026-01-08 07:45:00+00:00,25925.25,25928.19921875,25910.400390625,25915.25,0
2026-01-08 07:50:00+00:00,25915.19921875,25917.099609375,25906.650390625,25909.75,0
2026-01-08 07:55:00+00:00,25910.05078125,25913.150390625,25893.5,25893.5,0
2026-01-08 08:00:00+00:00,25894.150390625,25907.19921875,25886.400390625,25902.25,0
2026-01-08 08:05:00+00:00,25902.5,25911.19921875,25902.05078125,25905.349609375,0
2026-01-08 08:10:00+00:00,25904.19921875,25909.5,25898.19921875,25907.599609375,0
2026-01-08 08:15:00+00:00,25907.30078125,25928.599609375,25905.19921875,25919.19921875,0
2026-01-08 08:20:00+00:00,25919.150390625,25924.849609375,25910.05078125,25921.0,0
2026-01-08 08:25:00+00:00,25921.400390625,25939.0,25920.30078125,25929.349609375,0
2026-01-08 08:30:00+00:00,25929.0,25941.69921875,25921.25,25928.099609375,0
2026-01-08 08:35:00+00:00,25928.150390625,25942.19921875,25917.25,25919.19921875,0
2026-01-08 08:40:00+00:00,25920.69921875,25930.0,25915.400390625,25926.94921875,0
2026-01-08 08:45:00+00:00,25926.30078125,25939.75,25925.400390625,25935.69921875,0
2026-01-08 08:50:00+00:00,25935.849609375,25946.19921875,25925.69921875,25927.30078125,0
2026-01-08 08:55:00+00:00,25927.19921875,25931.19921875,25900.44921875,25905.44921875,0
2026-01-08 09:00:00+00:00,25906.900390625,25936.849609375,25902.099609375,25932.5,0
2026-01-08 09:05:00+00:00,25932.94921875,25940.94921875,25927.650390625,25930.30078125,0
2026-01-08 09:10:00+00:00,25929.349609375,25932.5,25919.900390625,25928.19921875,0
2026-01-08 09:15:00+00:00,25928.55078125,25940.19921875,25922.849609375,25930.94921875,0
2026-01-08 09:20:00+00:00,25930.55078125,25933.400390625,25916.80078125,25920.5,0
2026-01-08 09:25:00+00:00,25919.94921875,25923.599609375,25910.25,25911.150390625,0
2026-01-08 09:30:00+00:00,25912.099609375,25917.69921875,25868.44921875,25868.44921875,0
2026-01-08 09:35:00+00:00,25868.94921875,25879.349609375,25860.650390625,25871.849609375,0
2026-01-08 09:40:00+00:00,25870.30078125,25884.349609375,25870.30078125,25878.05078125,0
2026-01-08 09:45:00+00:00,25878.05078125,25880.599609375,25863.599609375,25874.099609375,0
2026-01-08 09:50:00+00:00,25872.05078125,25882.150390625,25872.05078125,25875.80078125,0
2026-01-08 09:55:00+00:00,25873.94921875,25877.55078125,25858.75,25868.900390625,0
2026-01-09 03:45:00+00:00,25871.75,25940.25,25871.75,25938.80078125,0
2026-01-09 03:50:00+00:00,25938.849609375,25938.849609375,25861.25,25862.349609375,0
2026-01-09 03:55:00+00:00,25862.30078125,25872.25,25839.44921875,25840.900390625,0
2026-01-09 04:00:00+00:00,25841.099609375,25873.099609375,25821.55078125,25837.150390625,0
2026-01-09 04:05:00+00:00,25836.05078125,25848.599609375,25818.349609375,25830.099609375,0
2026-01-09 04:10:00+00:00,25830.900390625,25876.69921875,25819.599609375,25876.69921875,0
2026-01-09 04:15:00+00:00,25876.849609375,25897.650390625,25849.650390625,25887.69921875,0
2026-01-09 04:20:00+00:00,25889.55078125,25889.75,25852.44921875,25877.30078125,0
2026-01-09 04:25:00+00:00,25877.80078125,25897.0,25876.69921875,25894.05078125,0
2026-01-09 04:30:00+00:00,25894.19921875,25901.94921875,25861.55078125,25872.55078125,0
2026-01-09 04:35:00+00:00,25875.05078125,25886.05078125,25860.80078125,25873.44921875,0
2026-01-09 04:40:00+00:00,25875.05078125,25878.44921875,25850.349609375,25856.599609375,0
2026-01-09 04:45:00+00:00,25858.0,25867.349609375,25854.30078125,25862.69921875,0
2026-01-09 04:50:00+00:00,25861.5,25881.349609375,25854.099609375,25870.44921875,0
2026-01-09 04:55:00+00:00,25871.900390625,25896.849609375,25858.05078125,25887.849609375,0
2026-01-09 05:00:00+00:00,25888.44921875,25890.75,25852.25,25853.099609375,0
2026-01-09 05:05:00+00:00,25853.150390625,25858.19921875,25838.55078125,25851.0,0
2026-01-09 05:10:00+00:00,25852.55078125,25864.150390625,25843.900390625,25856.44921875,0
2026-01-09 05:15:00+00:00,25856.849609375,25868.400390625,25853.30078125,25855.400390625,0
